id,name,img,tags,release,views,resources,download_url
24853,天命奇御二/官方中文/正版离线完美学习版,https://imgtu.switch520.com/2021/11/24/888c0c7bf01f2.jpg,"

PC游戏下载              
",2021-11-24T10:04:26+08:00, 6.5K,"
 
注意：需要STEAM客户端
解压码/安装码 215154
天翼：https://cloud.189.cn/t/mq2iAfaYbyIv
链接: https://pan.baidu.com/s/1NCQXOWXJx68oWyJSzks9VA 
提取码: ecde
",https://switch520.net/1376.html
24655,宝可梦 明亮的珍珠/官方中文/本体+1.1.1整合版/[XCI][原版-魔改11.0.0],https://imgtu.switch520.com/2021/11/18/a2e61cf18088b.jpg,"

3A巨作              

Switch游戏              

中文              
",2021-11-18T09:27:56+08:00, 52.16K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1rjhlEbXl6dr6I9TR5v2EZA
提取码: emgu
 
1.1.1升级补丁
链接: https://pan.baidu.com/s/1coU-0nVgCWQzbcsk6uR-Kw
提取码: 45vj
 
 
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/19kcKSaNS2xbFSAGDiNHHog 
提取码: rbh7
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1212.html
24648,破败王者 英雄联盟传奇/中文/本体+1.4+4DLC整合版[NSP-XCI][原版+魔改11.0.0],https://imgtu.switch520.com/2021/11/17/b057c2f803c79.jpg,"

Switch游戏              

中文              

热门              
",2021-11-17T20:39:28+08:00, 44.39K,"
原版[NSP]13.1.0
链接: https://pan.baidu.com/s/1c6a4VUssuyItq6VaZbwELA 
提取码: 52eq
 
1.4升级补丁
链接: https://pan.baidu.com/s/1XYKiW9g3tfSYh1L6CHPimg 
提取码: p66p
————————————
魔改11.0.0整合版
链接: https://pan.baidu.com/s/19avtzz9JblLw1O7RXaJLKg 
提取码: fdyj
 
————————————
原版本体直链下载：点我
原版升补直链下载：点我
原版DLC直链下载：点我
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1207.html
21245,企鹅交流聊,https://switch520.com/wp-content/uploads/2021/08/1629021740-88802801d0e3c32.jpg,"

[神の贴]              
",2021-08-15T18:02:57+08:00, 40.24K,,
21847,奇塔利亚童话/官方中文/本体+1.0.3+17DLC整合版[XCI][原版+魔改11.0.0],https://imgtu.switch520.com/2021/08/31/42b04ad4b593e.jpg,"

Switch游戏              

中文              

升补/DLC              
",2021-11-24T15:25:14+08:00, 10.49K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1hSIy586UgvP3fMPmPqQBZA 
提取码: 84m7
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/1pU86mAK67X4FDlWILYxoqg 
提取码: i9b1
————————————
原版本体直链下载:点我[上传中]
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1392.html
9646,[更新]鬼谷八荒/V0.8.4024/正版分流版,https://imgtu.switch520.com/2021/11/24/074e932af6450.jpg,"

PC游戏下载              
",2021-11-24T14:30:40+08:00, 77.13K,,https://url75.ctfile.com/f/34128475-521748472-7ce0f9
21551,混乱的斗士/中文/本体+2.0.0整合版/[NSZ-XCI][原版+魔改10.2.0],https://imgtu.switch520.com/2021/08/22/52b74b0d7ddbd.jpg,"

Switch游戏              

中文              

升补/DLC              
",2021-11-24T14:17:19+08:00, 8.71K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1vpPFCytYB6VXJDFN0CIpvQ 
提取码: fr2i
————————————
魔改10.2.0整合[XCI] 
链接: https://pan.baidu.com/s/15izm5gqE91j_RasQ8LB8NQ 
提取码: qu2e
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1387.html
18249,舒适森林/中文/本体+3.2.1+1DLC整合版/[NSZ-XCI][原版+魔改10.2.0],https://pic.imgdb.cn/item/60b508c039f6859bc2679436.jpg,"

Switch游戏              

中文              

升补/DLC              
",2021-11-24T14:13:46+08:00, 17.75K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1st3-EUwNIaBLFCq-b72F6w 
提取码: ebnn
————————————
魔改10.2.0整合[XCI] 
链接: https://pan.baidu.com/s/1litQRHwmDcMpEfpktwfuTw 
提取码: pmmf
————————————
原版本体直链下载:点我
原版升补直链下载:点我
原版DLC直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1385.html
21489,怪物火车/中文/本体+2.2.0整合版[NSZ-XCI][原版+魔改10.0.2],https://imgtu.switch520.com/2021/08/21/d2a8d026fe965.jpg,"

Switch游戏              

中文              

升补/DLC              
",2021-11-24T14:00:20+08:00, 6.39K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1WRS9HoukFunR3fGrh8Sfuw 
提取码: fk5u
————————————
魔改10.2.0整合[XCI] 
链接: https://pan.baidu.com/s/1SG8OecVsBMJ-9T3xCPF7aw 
提取码: qpd8
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1383.html
19070,马里奥高尔夫:超级冲冲冲/中文/本体+4.0整合版/[NSP-XCI][原版+魔改11.0.0],https://imgtu.switch520.com/2021/06/24/8426c21fa255f.jpg,"

3A巨作              

Switch游戏              

中文              
",2021-11-24T12:40:24+08:00, 1.02K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1gfCBmEmQT_WF4hedT4DsMA 
提取码: hu3e
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/10ysSutKlA5jOk5gYxSVFXQ 
提取码: fadj
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1380.html
24862,三国群英传8/官方中文/正版离线/整合2.02+全DLC完美学习版,https://imgtu.switch520.com/2021/11/24/e0a833249ed1e.jpg,"

PC游戏下载              
",2021-11-24T11:16:32+08:00, 3.1K,"
 
 
注意:需要STEAM客户端
解压码/安装码 497817
天翼：https://cloud.189.cn/t/Uv22IfYbAraa
链接: https://pan.baidu.com/s/1EjYhS34nMyYH8lxP-R7yMA 
提取码: rugr
",https://switch520.net/1378.html
24845,午夜场/生化危机 无尽黑暗/中文[1080P],https://imgtu.switch520.com/2021/11/23/73be01c08b7b6.jpg,"

啤酒炸鸡系列              
",2021-11-23T21:48:06+08:00, 4.96K,,
24843,公主联盟/官方中文/[NSP-XCI][原版+魔改9.2.0] [冷饭],https://imgtu.switch520.com/2021/11/23/950262da1d7cd.jpg,"

Switch游戏              

中文              
",2021-11-23T18:00:02+08:00, 8.31K,"
原版[11.0.1][NSP]
链接: https://pan.baidu.com/s/1zsNylLfFmhGiBpBR4yzZ3g 
提取码: u2rs
————————————
魔改9.2.0整合[XCI] 
链接: https://pan.baidu.com/s/1oBBc53l7YzR56akQO-Iw_Q 
提取码: gijd
————————————
原版本体直链下载:点我 
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1372.html
24841,11.23号-PC更新3部作品-官方中文/完美学习版,https://imgtu.switch520.com/2021/11/23/53b057c1777b8.jpg,"

PC游戏下载              
",2021-11-23T17:35:07+08:00, 6.73K,"
 

堕落之城莱蒂达亚/Obscurite Magie: The City of Sin（V1.00+DLC）
解压码897427
天翼：https://cloud.189.cn/t/yeIzy2muYnui
百度：https://pan.baidu.com/s/1tJMkzl-BdvQ-EFfNTqM0Mw
提取码：h6p6
=====

Re命运/Re:DESTINY（+DLC）
解压码715583
天翼：https://cloud.189.cn/t/fUzqeimuQzQ3
百度：https://pan.baidu.com/s/1d8mlQUTqVBtuNOk_O8npvA
提取码：jajb
 
=====

King Exit（V1.20-最终典藏版+全DLC）
解压码349618
天翼：https://cloud.189.cn/t/jMrA7bANJrUn
百度：https://pan.baidu.com/s/1zR6BTHJzvlCVDAFxC1Gt8Q
提取码：6j60
",https://switch520.net/1370.html
24837,Days & Fantasy Tavern Sextet [R18] MOD中文整合版/[XCI],https://imgtu.switch520.com/2021/11/23/7f50f32e8ede6.jpg,"

Switch游戏              

中文              
",2021-11-23T16:15:07+08:00, 7.99K,"
 
 
毒娘链接: https://pan.baidu.com/s/16LuFkk14IWfdFoUZfe2VyA 
提取码: busu
==========
杂牌不限速网盘:点我
",https://switch520.net/1367.html
18246,金手指大全包/数据更新到11.23号(持续更新)(含教程),https://switch520.com/wp-content/uploads/2021/11/1635876588-c0008b84e4ff8f9.jpg,"

[神の贴]              

中文              

加藤之指              
",2021-11-23T13:25:37+08:00, 87.03K,,https://url75.ctfile.com/f/34128475-521637830-6fed93
24834,无聊小游戏 5部/英日文/[NSP],https://imgtu.switch520.com/2021/11/23/61494b15f1ce1.jpg,"

Switch游戏              

英-日文              
",2021-11-23T13:14:55+08:00, 2.27K,,
24831,奇妙探险队2/官方中文/整合阿瓦隆高地DLC 完美学习版 [PC],https://imgtu.switch520.com/2021/11/23/4c80efa381bd7.jpg,"

PC游戏下载              
",2021-11-23T11:50:18+08:00, 4.45K,"
 
解压码/安装码 297417
天翼：https://cloud.189.cn/t/auaiaiBZzmyu
毒娘链接: https://pan.baidu.com/s/18OuABPoF2k7zF3jlJzg3uQ 
提取码: ggy8
",https://switch520.net/1363.html
24828,食人族菜肴/官方中文/本体+1.0.5整合版/[NSP-XCI][原版+魔改11.0.0],https://imgtu.switch520.com/2021/11/23/df09cf334c8c1.jpg,"

Switch游戏              

中文              
",2021-11-23T10:38:02+08:00, 3.13K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1v21NlcOgF_t0a3lv6qOVDQ 
提取码: itpa
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/1KEvC9peYZFieBkFXinryXw 
提取码: nms2
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1359.html
24826,死亡之门/官方中文/本体+1.1.5b整合版/[NSP-XCI][原版+魔改11.0.0],https://imgtu.switch520.com/2021/11/23/40e6d4572b7bb.jpg,"

Switch游戏              

中文              
",2021-11-23T10:33:10+08:00, 6.75K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1I45bOfsv4KrhffGMxxVSJg 
提取码: nr8p
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/1vnAmLrNrdnEQYCqsS57vjQ 
提取码: rsdh
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1357.html
24823,复活同盟 重制版/官方中文/本体+1.0.2整合版/[NSZ-XCI][冷饭],https://imgtu.switch520.com/2021/11/22/d7921a7f39324.jpg,"

Switch游戏              

中文              
",2021-11-22T21:18:17+08:00, 9.95K,"
 
[XCI]安装版
链接: https://pan.baidu.com/s/10UAVfEx_pO8JDL3SKVUlTQ 
提取码: bbcs
===========
[XCI]整合版
链接: https://pan.baidu.com/s/1c1OBYUJI3ENLwFvxijN3Xg
提取码: k6ck
==========
直链下载：点我[上传中]
",https://switch520.net/1353.html
24820,模拟农场22/官方中文/完美学习版,https://imgtu.switch520.com/2021/11/22/53f90e7603288.jpg,"

PC游戏下载              
",2021-11-22T20:44:40+08:00, 3.36K,"
 
 
毒娘链接: https://pan.baidu.com/s/1m_aJc0Vq8s5gBbTg_BHGjA 
提取码: hf8m
",https://switch520.net/1349.html
24818,狂野之心/官方中文/本体+1.1.0整合版/[NSP][原版],https://imgtu.switch520.com/2021/11/22/da5452d38b9a3.jpg,"

Switch游戏              

中文              
",2021-11-22T20:18:05+08:00, 6.25K,"
 
解压密码:switch520
 
毒娘
链接: https://pan.baidu.com/s/1j50_2QQ91K1QKxJJjIh2vw 
提取码: hv28
=================
直链下载：[1号包  2号包  3号包  4号包 ]
4个包同目录解压即可
",https://switch520.net/1347.html
24816,部落迁移/官方中文/[NSP-XCI][原版+魔改9.2.0],https://imgtu.switch520.com/2021/11/22/bdb0f63556b30.jpg,"

Switch游戏              

中文              
",2021-11-22T17:22:20+08:00, 6.18K,"
原版[11.0.1][NSP]
链接: https://pan.baidu.com/s/1oMQPnuhNhXHve0lmFjr-5g 
提取码: 3jgy
————————————
魔改9.2.0整合[XCI] 
链接: https://pan.baidu.com/s/12rmpZD61UsJN45kSXH-6FA 
提取码: piqh
————————————
原版本体直链下载:点我 
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1344.html
24814,暴徒猎手/官方中文/本体+1.0.5整合版/[NSP-XCI][原版+魔改9.2.0],https://imgtu.switch520.com/2021/11/22/fda749e7cbf3a.jpg,"

Switch游戏              

中文              
",2021-11-22T17:07:10+08:00, 8.62K,"
原版[11.0.1][NSP]
链接: https://pan.baidu.com/s/1QHV0OKmTkon22KFEmzV2Iw
提取码: 27i4
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/1gHHTubSA42ogq1rRnovLFQ 
提取码: 2a6k
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1342.html
24812,11.22号-PC更新5部作品-官方中文/完美学习版,https://imgtu.switch520.com/2021/11/22/60a3dd4e4bd36.jpg,"

PC游戏下载              
",2021-11-22T13:02:38+08:00, 10.32K,"

风信楼（正式版-Build.7726697-11.17-完结）
解压码www.cmdw.top
天翼：https://cloud.189.cn/t/63Ub2yRFb22i
百度：https://pan.baidu.com/s/1iUbAeLxche-xCze1EEDZyg
提取码：f852
==========

恶梦～Nightmare～（Build.7741397+DLC）
解压码725158
天翼：https://cloud.189.cn/t/ieiI7rN3qUbu
百度：https://pan.baidu.com/s/1stBsSR_5SDa1dt46FUqdGw
提取码：5syn
======

深夜麻将（V1.2.1+DLC）
解压码533443
天翼：https://cloud.189.cn/t/a2eYNnZvMjmi
百度：https://pan.baidu.com/s/1WiDxNoO8TZrBrvkqaA1lHw
提取码：ofqa
=====

远古众神/Ancient Gods
解压码986843
天翼：https://cloud.189.cn/t/iuMJJrzqqeeq
百度：https://pan.baidu.com/s/1Ttfys-wronA6i6shPRC8ig
提取码：p42w
 
=====

猫不语（Build.7740975）
解压码566535
天翼：https://cloud.189.cn/t/Z7bQRvRvu6fu
百度：https://pan.baidu.com/s/1J-M3AYW71-7Ik5A2OQiEGA
提取码：hdjs
",https://switch520.net/1340.html
22149,了不起的修仙模拟器/整合1.211+武当仙踪+竹林深处-整合热门MOD+合·欢宗/完美学习版,https://imgtu.switch520.com/2021/09/05/904f59cce8294.jpg,"

PC游戏下载              
",2021-11-22T12:50:19+08:00, 24.62K,,https://url75.ctfile.com/f/34128475-521527302-76b548
24807,坂上台风 正式版/日文/[NSP-XCI][原版+魔改10.2.0],https://imgtu.switch520.com/2021/11/22/7970699941b61.png,"

Switch游戏              
",2021-11-22T10:58:57+08:00, 2.13K,"
原版[12.1.0][NSP]
链接: https://pan.baidu.com/s/1Eh3hCa9KzeN6OiKWH5Kw6g 
提取码: 8adv
————————————
魔改10.2.0整合[XCI] 
链接: https://pan.baidu.com/s/1tv1FJ4-x-M6eE-A_5ERR9Q
提取码: inrr
————————————
原版本体直链下载:点我[上传中]
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1338.html
5603,螃蟹大战/官方中文/本体+1.23整合版/[NSP-XCI][原版+魔改10.2.0],https://imgtu.switch520.com/2021/11/22/d69bc1a018c84.jpg,"

Switch游戏              

中文              

升补/DLC              
",2021-11-22T10:50:10+08:00, 5.74K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1pDyTTIc0qzZoNQ412qWfpA
提取码: nswi
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/1OkVGsubvY7eJoRHqkTAtfQ 
提取码: uzsc
————————————
原版本体直链下载:点我
原版升补直链下载:点我
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1336.html
12483,下一站江湖Ⅰ 惊风苍隐录-卷雪苍隐传/官方中文/最新完美学习版,https://imgtu.switch520.com/2021/11/21/3dd5c84b2b445.jpg,"

PC游戏下载              
",2021-11-21T11:50:30+08:00, 16.01K,,https://url75.ctfile.com/f/34128475-521441783-f6dbbe
24798,小白兔电商/官方中文/完美学习版[PC],https://imgtu.switch520.com/2021/11/21/dfbb80daa7def.jpg,"

PC游戏下载              
",2021-11-21T11:42:59+08:00, 8.47K,"
解压码/安装码 488111
天翼：https://cloud.189.cn/t/AvquEnvm6Ff2
链接: https://pan.baidu.com/s/1KxF4N0HsVor9R3f9tEqhHw 
提取码: 1s3k
",https://switch520.net/1332.html
14062,安琪莉可/官方中文/本体+1.0.1+18DLC整合版/[NSP-XCI][原版+魔改10.2.0],https://imgtu.switch520.com/upload/art_editor/20210521-1/4735ee197df5a70941e6751c37185063.jpg,"

Switch游戏              

中文              

升补/DLC              
",2021-11-21T11:29:07+08:00, 9.46K,"
原版[12.0.2][NSP]
链接: https://pan.baidu.com/s/1PshTihpUOChJTEjN64MB1g
提取码: jumw
————————————
魔改10.2.0整合[XCI] 
链接: https://pan.baidu.com/s/1zSO3o_dkGkrRUFqunVQPqQ 
提取码: ak9a
————————————
魔改整合版直链下载:点我[上传中]
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1330.html
24621,Root/英文版/本体+2DLC整合版[NSP-XCI][原版+魔改11.0.0],https://imgtu.switch520.com/2021/11/17/5a9e49009c7b1.jpg,"

Switch游戏              

升补/DLC              

英文              
",2021-11-21T10:50:56+08:00, 5.01K,"
原版[13.1.0][NSP]
链接: https://pan.baidu.com/s/1tQ1hFat85ESNToaEunEeQA 
提取码: hn5h
 
2DLC
链接: https://pan.baidu.com/s/1768gmYzD-BNpgvojMtiMHA
提取码: 3au1
 
 
————————————
魔改11.0.0整合[XCI] 
链接: https://pan.baidu.com/s/1fIJTQleUFBML_DrBVpDzrA 
提取码: 73qu
————————————
原版本体直链下载:点我 
DLC直链下载:  [1DLC    2DLC]
[该游戏直链每天限流1TB 超出后会下载失败 第二天会重置流量]
————————————
直链最好用游戏区里的 超能多线程下载器 [传送门]   并稍微看下1秒教程 如果采用别的下载器 小容量游戏没问题 如果是稍微大型点的游戏有概率会出错 甚至出现需要账号和密码
",https://switch520.net/1177.html
